RD_NO,PERSON_TYPE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,SEX,AGE,SAFETY_EQUIPMENT,DRIVER_ACTION,DRIVER_VISION,PHYSICAL_CONDITION,BAC_RESULT VALUE,CELL_PHONE_USE
411895,0,30,1,2,2,1,12,2,0,1,0,0,34,1,7,0,0,0,0,200,200
411896,0,30,0,0,0,1,14,2,0,1,0,17,0,0,8,0,1,0,0,200,200
411896,0,30,0,0,0,1,14,2,0,1,0,17,0,0,7,0,0,0,0,200,200
411900,0,30,1,2,2,1,10,5,0,1,0,18,16,0,0,0,1,0,0,200,200
411900,0,30,1,2,2,1,10,5,0,1,0,18,16,1,7,0,0,0,0,200,200
411904,0,30,2,2,0,1,10,6,0,0,0,18,0,2,200,200,3,200,200,200,200
411904,0,30,2,2,0,1,10,6,0,0,0,18,0,0,6,0,0,0,0,200,200
411909,0,0,0,0,2,1,11,2,0,1,0,0,0,0,7,0,12,200,0,200,200
411909,0,0,0,0,2,1,11,2,0,1,0,0,0,0,6,0,200,200,0,200,200
411912,0,30,1,0,2,1,11,3,0,1,0,17,17,1,200,200,1,200,200,200,200
411912,0,30,1,0,2,1,11,3,0,1,0,17,17,0,6,0,0,0,0,200,200
411915,0,30,0,0,2,1,14,5,0,1,0,16,0,0,6,0,0,0,0,200,200
411915,0,30,0,0,2,1,14,5,0,1,0,16,0,0,6,0,12,0,0,200,200
411915,1,30,0,0,2,1,14,5,0,1,0,16,0,1,7,0,200,200,200,200,200
411918,0,10,0,0,0,1,7,7,0,0,0,0,0,2,200,200,200,200,200,200,200
411919,0,30,0,0,2,1,12,6,0,1,0,17,200,0,6,200,1,0,0,200,200
411919,0,30,0,0,2,1,12,6,0,1,0,17,200,0,6,0,0,0,0,200,200
411923,0,30,1,2,2,200,12,2,0,1,0,12,16,0,5,200,8,0,0,200,200
411923,0,30,1,2,2,200,12,2,0,1,0,12,16,0,8,200,0,0,0,200,200
411923,1,30,1,2,2,200,12,2,0,1,0,12,16,0,6,200,200,200,200,200,200
411923,1,30,1,2,2,200,12,2,0,1,0,12,16,1,6,200,200,200,200,200,200
411927,0,30,1,2,0,1,14,2,0,1,0,23,200,1,7,0,1,12,5,200,200
411927,0,30,1,2,0,1,14,2,0,1,0,23,200,1,7,0,0,0,0,200,200
411928,0,30,0,0,2,1,12,3,0,1,0,34,34,1,6,0,12,0,0,200,200
411928,0,30,0,0,2,1,12,3,0,1,0,34,34,1,5,0,0,0,0,200,200
411929,0,30,0,0,0,0,7,5,0,0,0,0,0,2,200,200,200,200,200,200,200
411931,0,30,1,2,2,1,12,6,0,1,0,22,17,0,5,0,7,0,0,200,200
411931,0,30,1,2,2,1,12,6,0,1,0,22,17,0,5,0,0,0,0,200,200
411938,0,30,2,2,2,1,14,5,0,1,0,34,200,1,6,0,200,0,0,200,200
411938,0,30,2,2,2,1,14,5,0,1,0,34,200,1,5,0,200,0,0,200,200
411941,0,30,0,0,2,1,10,5,0,1,0,18,200,1,5,0,3,1,0,200,200
411941,0,30,0,0,2,1,10,5,0,1,0,18,200,1,8,0,0,1,0,200,200
411943,0,25,0,0,12,1,0,5,0,1,0,0,0,1,6,0,200,0,0,200,200
411943,0,25,0,0,12,1,0,5,0,1,0,0,0,0,5,0,200,0,0,200,200
411943,1,25,0,0,12,1,0,5,0,1,0,0,0,0,7,0,200,200,200,200,200
411944,0,30,0,0,0,1,10,2,0,0,0,18,200,0,200,200,3,200,200,200,200
411944,0,30,0,0,0,1,10,2,0,0,0,18,200,1,5,200,0,200,0,200,200
411947,0,30,1,2,1,1,0,5,0,1,0,17,200,0,5,0,1,1,0,200,200
411947,0,30,1,2,1,1,0,5,0,1,0,17,200,0,6,0,0,0,0,200,200
411947,1,30,1,2,1,1,0,5,0,1,0,17,200,0,200,0,200,200,200,200,200
411961,0,20,0,0,0,1,7,5,0,0,0,0,0,2,200,200,200,200,200,200,200
411962,0,30,0,0,0,2,7,5,0,0,0,0,0,2,200,200,200,200,200,200,200
411972,0,15,0,0,1,1,7,7,0,1,0,20,0,0,5,0,6,0,0,200,200
411973,0,30,0,0,0,1,7,5,0,0,0,16,4,2,200,200,5,200,200,200,200
411974,0,30,2,1,2,1,12,6,0,1,0,21,200,0,200,200,8,200,200,200,200
411974,0,30,2,1,2,1,12,6,0,1,0,21,200,0,6,0,4,200,0,200,200
411974,0,30,2,1,2,1,12,6,0,1,0,21,200,1,5,0,0,200,0,200,200
411981,0,30,7,3,0,1,10,5,0,0,0,18,0,1,5,0,3,0,0,200,200
411981,0,30,7,3,0,1,10,5,0,0,0,18,0,1,6,0,0,0,0,200,200
411981,1,30,7,3,0,1,10,5,0,0,0,18,0,0,0,5,200,200,200,200,200
411982,0,30,0,0,1,1,9,7,0,1,0,20,11,0,200,200,6,200,200,200,200
411982,5,30,0,0,1,1,9,7,0,1,0,20,11,1,5,200,0,0,0,200,200
411987,0,30,1,2,0,1,14,3,0,1,0,0,0,0,7,0,12,0,0,200,200
411987,0,30,1,2,0,1,14,3,0,1,0,0,0,1,200,0,12,0,0,200,200
411987,1,30,1,2,0,1,14,3,0,1,0,0,0,1,200,7,200,200,200,200,200
411990,0,30,0,0,0,1,12,5,0,1,0,0,0,0,5,0,200,200,0,200,200
411990,0,30,0,0,0,1,12,5,0,1,0,0,0,0,7,0,200,200,0,200,200
411991,0,30,2,2,0,1,7,5,0,1,0,16,15,0,5,0,3,0,0,200,200
411995,0,30,0,0,0,1,12,2,0,0,12,28,28,0,200,200,8,200,200,200,200
411995,0,30,0,0,0,1,12,2,0,0,12,28,28,1,6,0,0,0,0,200,200
411995,1,30,0,0,0,1,12,2,0,0,12,28,28,1,5,200,200,200,200,200,200
411998,0,30,0,0,0,1,12,2,0,0,0,0,0,0,200,200,200,200,200,200,200
411998,0,30,0,0,0,1,12,2,0,0,0,0,0,0,7,0,4,0,0,200,200
412001,0,20,1,2,1,1,0,2,0,0,0,21,33,0,6,200,4,1,0,200,200
412001,0,20,1,2,1,1,0,2,0,0,0,21,33,0,6,200,12,1,0,200,200
412003,0,30,1,2,2,1,12,5,0,1,0,17,17,1,7,0,1,0,0,200,200
412003,0,30,1,2,2,1,12,5,0,1,0,17,17,1,7,0,0,0,0,200,200
412005,0,30,1,2,0,1,10,5,0,0,0,16,0,0,6,0,3,0,200,200,200
412005,0,30,1,2,0,1,10,5,0,0,0,16,0,1,6,0,0,0,0,200,200
412006,0,30,1,2,1,1,14,3,2,1,0,17,0,1,6,0,1,200,0,200,200
412006,0,30,1,2,1,1,14,3,2,1,0,17,0,2,200,200,200,200,200,200,200
412006,1,30,1,2,1,1,14,3,2,1,0,17,0,1,0,5,200,200,200,200,200
412008,0,30,1,2,0,1,10,5,0,0,0,17,16,1,200,200,1,200,200,200,200
412008,0,30,1,2,0,1,10,5,0,0,0,17,16,1,4,0,0,0,0,200,200
412008,1,30,1,2,0,1,10,5,0,0,0,17,16,0,200,200,200,200,200,200,200
412008,1,30,1,2,0,1,10,5,0,0,0,17,16,1,200,200,200,200,200,200,200
412009,0,30,2,2,0,1,10,5,0,0,200,0,0,0,200,200,1,200,0,200,200
412009,0,30,2,2,0,1,10,5,0,0,200,0,0,0,200,200,0,200,0,200,200
412011,0,30,0,0,0,1,10,2,0,0,200,0,0,1,5,200,200,200,200,200,200
412011,0,30,0,0,0,1,10,2,0,0,200,0,0,0,6,200,200,200,200,200,200
412011,0,30,0,0,0,1,10,2,0,0,200,0,0,1,6,200,200,200,200,200,200
412014,0,10,0,0,0,1,7,7,0,0,0,0,0,2,200,200,200,200,200,200,200
412023,0,35,1,2,0,1,2,2,0,0,0,27,200,1,6,200,12,200,4,200,200
412025,0,30,0,0,0,1,7,6,0,0,0,0,0,0,4,0,0,0,0,200,200
412030,0,35,0,0,1,1,10,3,0,1,0,18,18,0,5,0,3,0,0,200,200
412030,0,35,0,0,1,1,10,3,0,1,0,18,18,0,7,0,0,0,0,200,200
412033,0,30,1,2,0,1,12,3,0,0,0,17,23,1,200,200,7,200,200,200,200
412033,0,30,1,2,0,1,12,3,0,0,0,17,23,1,6,0,0,200,0,200,200
412033,1,30,1,2,0,1,12,3,0,0,0,17,23,0,0,5,200,200,200,200,200
412034,0,30,1,2,0,1,10,2,0,1,0,16,18,0,5,0,3,0,0,200,200
412034,0,30,1,2,0,1,10,2,0,1,0,16,18,1,7,0,0,0,0,200,200
412063,0,30,0,0,0,1,12,5,0,0,0,0,200,0,6,200,12,0,0,200,200
412063,0,30,0,0,0,1,12,5,0,0,0,0,200,0,6,200,12,200,200,200,200
412063,1,30,0,0,0,1,12,5,0,0,0,0,200,0,0,5,200,200,200,200,200
412063,1,30,0,0,0,1,12,5,0,0,0,0,200,0,0,5,200,200,200,200,200
412065,0,30,2,2,0,1,9,5,0,0,0,17,200,1,6,0,1,0,0,200,200
412065,5,30,2,2,0,1,9,5,0,0,0,17,200,1,200,200,200,200,200,200,200
412065,1,30,2,2,0,1,9,5,0,0,0,17,200,0,3,0,200,200,200,200,200
412066,0,30,1,2,0,3,12,3,0,0,0,0,0,0,5,200,200,200,200,200,200
412066,0,30,1,2,0,3,12,3,0,0,0,0,0,0,6,0,0,0,0,200,200
412071,0,20,0,0,200,200,7,5,0,200,200,0,200,2,200,200,200,200,200,200,200
412072,0,30,0,0,0,1,12,5,0,0,0,17,25,2,200,200,14,200,200,200,200
412072,0,30,0,0,0,1,12,5,0,0,0,17,25,1,6,0,0,0,0,200,200
412072,1,30,0,0,0,1,12,5,0,0,0,17,25,0,5,0,200,200,200,200,200
412080,0,30,0,0,0,0,14,2,0,0,0,17,17,1,6,0,1,200,0,200,200
